Country,Age,Gender,EdLevel,UndergradMajor,Employment,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,WorkWeekHrs,WorkRemote,MentalHealth
Australia,33,male,Masters degree,Computer science,Not employed,Back-end developer,9-11 years,0-2 years,Neutral,Neutral,72,Most of the time,Fair
Canada,20,male,Doctoral degree,Engineering,Student,Front-end developer,9-11 years,9-11 years,Very satisfied,Slightly dissatisfied,44,Rarely,Fair
Germany,41,male,Bachelors degree,Other,Self-employed,Other,6-8 years,0-2 years,Slightly dissatisfied,Neutral,22,Sometimes,Fair
Other,21,female,Doctoral degree,Mathematics,Employed full-time,Full-stack developer,3-5 years,12+ years,Slightly dissatisfied,Very satisfied,43,Full-time remote,Good
Other,62,female,Masters degree,Information systems,Employed full-time,Front-end developer,0-2 years,9-11 years,Very satisfied,Very dissatisfied,63,Most of the time,Good
United Kingdom,47,male,Doctoral degree,Computer science,Not employed,Front-end developer,3-5 years,6-8 years,Slightly satisfied,Very dissatisfied,23,Most of the time,Good
Canada,22,male,Some college,Other,Employed part-time,Full-stack developer,12+ years,3-5 years,Slightly satisfied,Very dissatisfied,76,Full-time remote,Excellent
France,50,male,Bachelors degree,Computer science,Self-employed,Front-end developer,6-8 years,0-2 years,Very dissatisfied,Very dissatisfied,66,Sometimes,Fair
Australia,21,other,Masters degree,Mathematics,Self-employed,Other,0-2 years,9-11 years,Neutral,Very satisfied,75,Rarely,Good
United Kingdom,63,male,Doctoral degree,Information systems,Student,Other,0-2 years,0-2 years,Neutral,Very satisfied,64,Never,Good
Brazil,56,male,Bachelors degree,Computer science,Employed part-time,Front-end developer,6-8 years,9-11 years,Slightly satisfied,Very dissatisfied,79,Never,Good
Netherlands,25,male,Doctoral degree,Mathematics,Self-employed,Full-stack developer,6-8 years,9-11 years,Very satisfied,Very dissatisfied,21,Never,Excellent
France,36,male,Doctoral degree,Other,Not employed,Back-end developer,3-5 years,9-11 years,Neutral,Very dissatisfied,79,Rarely,Fair
Brazil,30,male,Doctoral degree,Engineering,Student,Back-end developer,6-8 years,0-2 years,Neutral,Slightly dissatisfied,53,Never,Prefer not to say
United States,58,female,Masters degree,Mathematics,Student,Other,9-11 years,12+ years,Slightly satisfied,Slightly satisfied,66,Most of the time,Prefer not to say
Netherlands,23,female,Doctoral degree,Other,Self-employed,Other,6-8 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,67,Never,Prefer not to say
France,47,other,Doctoral degree,Other,Employed part-time,Data scientist,9-11 years,3-5 years,Very satisfied,Very dissatisfied,55,Most of the time,Fair
Brazil,47,male,Masters degree,Mathematics,Employed full-time,Data scientist,0-2 years,9-11 years,Neutral,Slightly satisfied,73,Full-time remote,Fair
United States,58,male,Masters degree,Mathematics,Employed part-time,Back-end developer,3-5 years,12+ years,Slightly satisfied,Slightly satisfied,32,Rarely,Good
United States,62,female,Masters degree,Mathematics,Student,Data scientist,12+ years,9-11 years,Neutral,Slightly satisfied,65,Never,Good
Spain,53,male,Masters degree,Other,Employed part-time,Other,0-2 years,Not applicable,Very dissatisfied,Slightly dissatisfied,47,Sometimes,Fair
France,63,male,Some college,Computer science,Student,Front-end developer,3-5 years,9-11 years,Very satisfied,Slightly satisfied,25,Most of the time,Excellent
United States,47,male,Bachelors degree,Information systems,Self-employed,Front-end developer,3-5 years,Not applicable,Neutral,Slightly satisfied,49,Most of the time,Fair
United Kingdom,56,male,Masters degree,Computer science,Employed full-time,Front-end developer,3-5 years,12+ years,Slightly satisfied,Very dissatisfied,69,Full-time remote,Excellent
United Kingdom,54,female,Doctoral degree,Information systems,Employed full-time,Other,0-2 years,Not applicable,Neutral,Very dissatisfied,53,Sometimes,Good
Canada,22,male,Some college,Engineering,Student,Data scientist,12+ years,6-8 years,Very dissatisfied,Very dissatisfied,38,Most of the time,Good
Australia,59,other,Secondary school,Information systems,Not employed,Full-stack developer,0-2 years,0-2 years,Slightly satisfied,Neutral,24,Never,Good
Australia,21,male,Bachelors degree,Computer science,Not employed,Full-stack developer,12+ years,0-2 years,Slightly satisfied,Neutral,74,Sometimes,Excellent
Spain,62,other,Bachelors degree,Computer science,Not employed,Full-stack developer,6-8 years,3-5 years,Neutral,Slightly satisfied,42,Full-time remote,Good
France,54,male,Some college,Information systems,Student,Back-end developer,0-2 years,0-2 years,Very satisfied,Neutral,76,Most of the time,Fair
United States,28,male,Doctoral degree,Other,Self-employed,Data scientist,3-5 years,9-11 years,Neutral,Slightly dissatisfied,21,Sometimes,Good
India,52,male,Masters degree,Information systems,Employed part-time,Data scientist,6-8 years,0-2 years,Slightly satisfied,Very dissatisfied,21,Most of the time,Excellent
India,57,female,Some college,Computer science,Not employed,Full-stack developer,3-5 years,6-8 years,Very satisfied,Neutral,70,Full-time remote,Fair
Other,29,female,Doctoral degree,Engineering,Self-employed,Data scientist,0-2 years,Not applicable,Very dissatisfied,Very satisfied,72,Full-time remote,Excellent
India,58,male,Doctoral degree,Computer science,Employed full-time,Front-end developer,6-8 years,Not applicable,Neutral,Slightly satisfied,22,Rarely,Good
India,21,male,Masters degree,Engineering,Employed full-time,Full-stack developer,0-2 years,Not applicable,Slightly satisfied,Very dissatisfied,63,Never,Prefer not to say
India,42,male,Doctoral degree,Information systems,Student,Other,9-11 years,12+ years,Slightly satisfied,Very satisfied,33,Full-time remote,Fair
Netherlands,34,male,Secondary school,Engineering,Self-employed,Front-end developer,3-5 years,Not applicable,Slightly satisfied,Neutral,80,Most of the time,Prefer not to say
Netherlands,39,male,Masters degree,Engineering,Student,Full-stack developer,0-2 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,50,Sometimes,Excellent
France,50,male,Bachelors degree,Engineering,Employed full-time,Front-end developer,6-8 years,3-5 years,Slightly dissatisfied,Very satisfied,51,Sometimes,Fair
India,60,male,Bachelors degree,Information systems,Employed full-time,Data scientist,12+ years,12+ years,Slightly satisfied,Very dissatisfied,42,Most of the time,Poor
Other,31,female,Secondary school,Mathematics,Employed full-time,Other,6-8 years,Not applicable,Slightly dissatisfied,Neutral,75,Rarely,Fair
Spain,23,female,Masters degree,Information systems,Not employed,Full-stack developer,3-5 years,3-5 years,Very satisfied,Neutral,35,Most of the time,Good
United States,23,male,Bachelors degree,Engineering,Not employed,Full-stack developer,9-11 years,0-2 years,Slightly satisfied,Very dissatisfied,56,Rarely,Excellent
United States,34,male,Masters degree,Engineering,Self-employed,Front-end developer,3-5 years,Not applicable,Very satisfied,Neutral,77,Full-time remote,Good
France,24,male,Secondary school,Mathematics,Employed part-time,Full-stack developer,12+ years,6-8 years,Very satisfied,Slightly dissatisfied,40,Rarely,Excellent
Australia,21,male,Masters degree,Computer science,Employed full-time,Full-stack developer,6-8 years,0-2 years,Very satisfied,Very dissatisfied,53,Never,Good
Other,59,male,Secondary school,Engineering,Not employed,Data scientist,12+ years,0-2 years,Slightly satisfied,Very dissatisfied,34,Never,Excellent
Spain,62,female,Some college,Information systems,Student,Other,6-8 years,9-11 years,Slightly dissatisfied,Neutral,79,Never,Fair
Spain,31,male,Doctoral degree,Computer science,Not employed,Full-stack developer,3-5 years,Not applicable,Slightly dissatisfied,Slightly satisfied,79,Full-time remote,Good
United Kingdom,50,male,Masters degree,Information systems,Student,Full-stack developer,12+ years,9-11 years,Neutral,Very dissatisfied,40,Never,Good
Canada,47,male,Bachelors degree,Engineering,Employed full-time,Back-end developer,12+ years,3-5 years,Very dissatisfied,Slightly satisfied,31,Rarely,Poor
Australia,47,other,Doctoral degree,Engineering,Employed full-time,Front-end developer,3-5 years,Not applicable,Neutral,Slightly dissatisfied,65,Never,Excellent
United States,26,male,Some college,Information systems,Employed full-time,Data scientist,9-11 years,9-11 years,Slightly dissatisfied,Neutral,43,Rarely,Poor
Brazil,42,female,Bachelors degree,Computer science,Employed part-time,Front-end developer,9-11 years,0-2 years,Very dissatisfied,Very satisfied,73,Rarely,Fair
France,55,other,Bachelors degree,Information systems,Self-employed,Full-stack developer,9-11 years,9-11 years,Slightly dissatisfied,Very dissatisfied,44,Most of the time,Excellent
United Kingdom,19,female,Masters degree,Engineering,Self-employed,Back-end developer,0-2 years,9-11 years,Very satisfied,Very dissatisfied,44,Full-time remote,Fair
France,59,male,Bachelors degree,Other,Employed part-time,Back-end developer,3-5 years,6-8 years,Slightly satisfied,Slightly dissatisfied,34,Full-time remote,Good
India,27,male,Doctoral degree,Computer science,Not employed,Data scientist,6-8 years,3-5 years,Neutral,Neutral,37,Most of the time,Poor
Canada,34,male,Bachelors degree,Other,Student,Back-end developer,6-8 years,9-11 years,Very dissatisfied,Neutral,51,Sometimes,Good
Other,35,female,Masters degree,Other,Self-employed,Back-end developer,6-8 years,12+ years,Very satisfied,Very dissatisfied,62,Most of the time,Good
India,25,other,Doctoral degree,Information systems,Employed full-time,Back-end developer,0-2 years,3-5 years,Slightly dissatisfied,Very dissatisfied,34,Sometimes,Good
Australia,47,male,Bachelors degree,Information systems,Employed full-time,Other,0-2 years,0-2 years,Slightly dissatisfied,Slightly satisfied,68,Never,Good
Netherlands,31,male,Some college,Other,Not employed,Back-end developer,6-8 years,12+ years,Slightly dissatisfied,Very dissatisfied,39,Most of the time,Good
United Kingdom,42,female,Some college,Engineering,Student,Back-end developer,0-2 years,0-2 years,Very dissatisfied,Slightly satisfied,74,Never,Good
Canada,34,male,Doctoral degree,Engineering,Employed full-time,Front-end developer,0-2 years,Not applicable,Slightly dissatisfied,Slightly satisfied,41,Never,Prefer not to say
Netherlands,20,male,Secondary school,Other,Self-employed,Back-end developer,9-11 years,6-8 years,Very satisfied,Slightly dissatisfied,49,Never,Fair
Netherlands,20,female,Masters degree,Computer science,Employed full-time,Full-stack developer,0-2 years,0-2 years,Neutral,Very satisfied,51,Most of the time,Good
Germany,44,male,Doctoral degree,Computer science,Employed part-time,Back-end developer,3-5 years,9-11 years,Slightly dissatisfied,Very satisfied,39,Rarely,Excellent
Other,18,male,Doctoral degree,Computer science,Self-employed,Data scientist,9-11 years,6-8 years,Slightly satisfied,Slightly dissatisfied,36,Sometimes,Good
United Kingdom,50,male,Secondary school,Mathematics,Self-employed,Data scientist,6-8 years,Not applicable,Slightly dissatisfied,Neutral,52,Rarely,Good
Germany,63,male,Secondary school,Computer science,Self-employed,Other,3-5 years,12+ years,Very dissatisfied,Slightly dissatisfied,20,Rarely,Good
Germany,21,male,Masters degree,Other,Self-employed,Front-end developer,12+ years,9-11 years,Neutral,Slightly satisfied,32,Never,Prefer not to say
India,46,male,Some college,Engineering,Not employed,Other,0-2 years,6-8 years,Neutral,Neutral,55,Full-time remote,Good
United States,19,male,Some college,Information systems,Self-employed,Data scientist,3-5 years,Not applicable,Slightly satisfied,Slightly satisfied,22,Full-time remote,Fair
Brazil,35,female,Doctoral degree,Engineering,Employed part-time,Full-stack developer,12+ years,3-5 years,Very satisfied,Very satisfied,49,Full-time remote,Good
United Kingdom,53,male,Bachelors degree,Information systems,Employed part-time,Front-end developer,12+ years,Not applicable,Slightly satisfied,Very dissatisfied,43,Rarely,Fair
India,52,male,Some college,Other,Employed part-time,Back-end developer,3-5 years,6-8 years,Very dissatisfied,Very satisfied,74,Sometimes,Fair
United Kingdom,24,male,Secondary school,Computer science,Student,Other,12+ years,9-11 years,Slightly satisfied,Slightly satisfied,61,Sometimes,Fair
United States,29,male,Some college,Information systems,Not employed,Data scientist,9-11 years,Not applicable,Very satisfied,Slightly satisfied,46,Never,Fair
United Kingdom,62,male,Some college,Mathematics,Employed part-time,Other,12+ years,Not applicable,Slightly dissatisfied,Neutral,65,Sometimes,Fair
Other,58,male,Bachelors degree,Information systems,Not employed,Back-end developer,6-8 years,12+ years,Very satisfied,Very satisfied,80,Full-time remote,Fair
Canada,29,male,Masters degree,Computer science,Not employed,Back-end developer,0-2 years,Not applicable,Neutral,Slightly satisfied,61,Full-time remote,Excellent
Canada,59,female,Doctoral degree,Information systems,Self-employed,Back-end developer,12+ years,3-5 years,Very dissatisfied,Slightly dissatisfied,63,Most of the time,Excellent
Germany,48,female,Bachelors degree,Other,Employed full-time,Data scientist,3-5 years,0-2 years,Very satisfied,Slightly satisfied,37,Rarely,Fair
Australia,59,male,Doctoral degree,Mathematics,Not employed,Other,9-11 years,3-5 years,Neutral,Very dissatisfied,76,Full-time remote,Fair
Brazil,37,male,Bachelors degree,Engineering,Employed part-time,Data scientist,3-5 years,3-5 years,Neutral,Slightly satisfied,61,Never,Fair
Germany,53,female,Some college,Mathematics,Self-employed,Back-end developer,12+ years,0-2 years,Slightly satisfied,Slightly dissatisfied,20,Rarely,Fair
India,54,female,Some college,Information systems,Student,Other,9-11 years,0-2 years,Very dissatisfied,Neutral,71,Rarely,Fair
Australia,61,male,Secondary school,Mathematics,Not employed,Other,12+ years,3-5 years,Neutral,Neutral,48,Rarely,Fair
Canada,39,male,Doctoral degree,Information systems,Student,Full-stack developer,9-11 years,6-8 years,Slightly dissatisfied,Very dissatisfied,29,Most of the time,Good
India,20,male,Masters degree,Engineering,Employed part-time,Other,9-11 years,9-11 years,Slightly satisfied,Very satisfied,76,Never,Fair
Other,44,female,Masters degree,Mathematics,Not employed,Data scientist,9-11 years,3-5 years,Slightly satisfied,Very satisfied,68,Rarely,Fair
Canada,27,male,Some college,Mathematics,Employed part-time,Back-end developer,0-2 years,6-8 years,Neutral,Very dissatisfied,23,Never,Good
Germany,53,male,Doctoral degree,Mathematics,Student,Data scientist,12+ years,Not applicable,Slightly dissatisfied,Very dissatisfied,45,Full-time remote,Fair
India,65,female,Bachelors degree,Other,Student,Front-end developer,6-8 years,0-2 years,Slightly satisfied,Very satisfied,60,Full-time remote,Good
United Kingdom,38,male,Doctoral degree,Other,Student,Front-end developer,9-11 years,6-8 years,Neutral,Very dissatisfied,41,Rarely,Fair
Brazil,33,male,Some college,Other,Not employed,Front-end developer,3-5 years,3-5 years,Slightly dissatisfied,Neutral,60,Sometimes,Good
France,20,male,Doctoral degree,Computer science,Student,Data scientist,3-5 years,9-11 years,Very satisfied,Slightly satisfied,57,Sometimes,Poor
Germany,20,male,Some college,Computer science,Employed part-time,Data scientist,12+ years,9-11 years,Slightly dissatisfied,Neutral,55,Sometimes,Poor
Germany,57,male,Masters degree,Computer science,Self-employed,Front-end developer,3-5 years,Not applicable,Neutral,Slightly dissatisfied,75,Most of the time,Fair
Germany,19,male,Some college,Mathematics,Self-employed,Back-end developer,9-11 years,12+ years,Very satisfied,Neutral,77,Rarely,Fair
Spain,47,male,Some college,Engineering,Employed full-time,Front-end developer,3-5 years,9-11 years,Neutral,Neutral,37,Most of the time,Good
United States,54,male,Bachelors degree,Other,Employed full-time,Other,0-2 years,9-11 years,Very satisfied,Very dissatisfied,59,Sometimes,Poor
Australia,47,male,Bachelors degree,Mathematics,Employed full-time,Front-end developer,9-11 years,3-5 years,Neutral,Very satisfied,43,Most of the time,Poor
Other,56,female,Doctoral degree,Engineering,Employed full-time,Back-end developer,3-5 years,0-2 years,Slightly dissatisfied,Very satisfied,51,Most of the time,Fair
Canada,58,female,Doctoral degree,Computer science,Employed part-time,Data scientist,9-11 years,0-2 years,Very satisfied,Neutral,74,Sometimes,Prefer not to say
Other,56,male,Secondary school,Information systems,Employed part-time,Front-end developer,12+ years,Not applicable,Neutral,Very dissatisfied,23,Sometimes,Good
Canada,58,male,Some college,Other,Not employed,Data scientist,9-11 years,3-5 years,Very satisfied,Slightly satisfied,29,Sometimes,Excellent
United States,26,male,Some college,Mathematics,Employed part-time,Front-end developer,9-11 years,12+ years,Slightly dissatisfied,Very satisfied,39,Rarely,Fair
Spain,26,male,Masters degree,Engineering,Not employed,Front-end developer,0-2 years,3-5 years,Very satisfied,Very dissatisfied,40,Never,Good
Other,43,other,Some college,Engineering,Student,Front-end developer,6-8 years,9-11 years,Very satisfied,Very satisfied,71,Never,Poor
United Kingdom,65,other,Secondary school,Engineering,Employed part-time,Full-stack developer,0-2 years,Not applicable,Very satisfied,Very dissatisfied,70,Full-time remote,Good
France,28,female,Bachelors degree,Engineering,Student,Other,3-5 years,6-8 years,Slightly dissatisfied,Very dissatisfied,66,Rarely,Fair
Germany,40,other,Doctoral degree,Computer science,Employed full-time,Back-end developer,9-11 years,0-2 years,Very dissatisfied,Slightly satisfied,61,Rarely,Good
Canada,65,male,Secondary school,Other,Employed full-time,Data scientist,12+ years,12+ years,Slightly dissatisfied,Slightly dissatisfied,69,Most of the time,Excellent
Spain,44,male,Masters degree,Information systems,Student,Data scientist,9-11 years,Not applicable,Very satisfied,Very satisfied,68,Most of the time,Poor
United States,18,male,Masters degree,Mathematics,Employed full-time,Full-stack developer,9-11 years,12+ years,Very dissatisfied,Slightly dissatisfied,52,Sometimes,Fair
Brazil,56,male,Doctoral degree,Engineering,Employed part-time,Back-end developer,6-8 years,6-8 years,Very dissatisfied,Slightly satisfied,64,Never,Good
Netherlands,37,male,Doctoral degree,Information systems,Student,Data scientist,12+ years,0-2 years,Slightly satisfied,Neutral,63,Sometimes,Fair
Germany,51,male,Doctoral degree,Engineering,Not employed,Back-end developer,12+ years,6-8 years,Neutral,Slightly satisfied,77,Sometimes,Poor
Australia,59,female,Masters degree,Other,Not employed,Other,12+ years,3-5 years,Slightly dissatisfied,Very dissatisfied,45,Full-time remote,Fair
Australia,40,male,Masters degree,Other,Not employed,Data scientist,0-2 years,9-11 years,Slightly satisfied,Very dissatisfied,35,Rarely,Fair
Australia,23,male,Secondary school,Computer science,Not employed,Data scientist,12+ years,12+ years,Slightly dissatisfied,Slightly satisfied,47,Sometimes,Good
United Kingdom,62,male,Masters degree,Computer science,Self-employed,Other,6-8 years,9-11 years,Very satisfied,Slightly dissatisfied,68,Never,Fair
Canada,38,male,Secondary school,Other,Employed part-time,Front-end developer,0-2 years,6-8 years,Slightly satisfied,Neutral,58,Rarely,Good
Germany,60,other,Some college,Computer science,Employed part-time,Other,3-5 years,12+ years,Very dissatisfied,Slightly dissatisfied,53,Sometimes,Good
Canada,46,female,Some college,Computer science,Employed part-time,Full-stack developer,6-8 years,0-2 years,Very dissatisfied,Neutral,50,Full-time remote,Good
France,34,female,Masters degree,Information systems,Not employed,Data scientist,6-8 years,12+ years,Neutral,Very dissatisfied,72,Sometimes,Good
Netherlands,62,male,Masters degree,Other,Self-employed,Data scientist,3-5 years,6-8 years,Very dissatisfied,Neutral,76,Most of the time,Good
Spain,37,female,Doctoral degree,Computer science,Employed full-time,Other,9-11 years,12+ years,Slightly satisfied,Slightly satisfied,56,Most of the time,Fair
Spain,63,female,Bachelors degree,Computer science,Employed full-time,Full-stack developer,6-8 years,0-2 years,Very dissatisfied,Very satisfied,39,Full-time remote,Fair
Netherlands,60,female,Secondary school,Engineering,Student,Front-end developer,6-8 years,6-8 years,Very satisfied,Neutral,59,Sometimes,Excellent
Australia,33,male,Some college,Engineering,Student,Other,9-11 years,Not applicable,Very dissatisfied,Very satisfied,77,Full-time remote,Excellent
United States,22,male,Some college,Mathematics,Employed part-time,Front-end developer,9-11 years,9-11 years,Slightly dissatisfied,Neutral,64,Most of the time,Poor
United Kingdom,30,female,Bachelors degree,Mathematics,Student,Other,0-2 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,63,Most of the time,Good
Brazil,31,male,Some college,Other,Employed full-time,Other,0-2 years,6-8 years,Slightly satisfied,Slightly satisfied,55,Never,Good
Netherlands,29,female,Bachelors degree,Computer science,Not employed,Back-end developer,0-2 years,9-11 years,Very satisfied,Very satisfied,40,Rarely,Poor
India,21,male,Bachelors degree,Engineering,Self-employed,Data scientist,9-11 years,9-11 years,Very dissatisfied,Neutral,77,Most of the time,Fair
France,43,female,Masters degree,Engineering,Employed part-time,Front-end developer,0-2 years,9-11 years,Neutral,Very dissatisfied,64,Full-time remote,Good
Australia,52,male,Some college,Computer science,Employed full-time,Data scientist,9-11 years,0-2 years,Neutral,Very satisfied,55,Most of the time,Good
Australia,49,male,Masters degree,Computer science,Employed full-time,Other,0-2 years,6-8 years,Very dissatisfied,Very dissatisfied,33,Most of the time,Fair
Australia,38,male,Secondary school,Computer science,Student,Data scientist,9-11 years,0-2 years,Very satisfied,Very dissatisfied,20,Never,Excellent
United Kingdom,57,male,Doctoral degree,Information systems,Not employed,Front-end developer,0-2 years,0-2 years,Very dissatisfied,Very dissatisfied,61,Rarely,Excellent
Other,45,male,Secondary school,Other,Not employed,Back-end developer,9-11 years,0-2 years,Very dissatisfied,Slightly dissatisfied,32,Most of the time,Good
Australia,63,male,Bachelors degree,Computer science,Not employed,Other,0-2 years,0-2 years,Very satisfied,Very satisfied,36,Full-time remote,Excellent
Canada,64,male,Doctoral degree,Mathematics,Not employed,Data scientist,9-11 years,3-5 years,Slightly dissatisfied,Neutral,59,Most of the time,Fair
Germany,35,male,Secondary school,Other,Employed full-time,Full-stack developer,9-11 years,6-8 years,Very dissatisfied,Very dissatisfied,75,Sometimes,Fair
Netherlands,28,male,Masters degree,Other,Employed full-time,Other,0-2 years,Not applicable,Very dissatisfied,Very dissatisfied,65,Never,Prefer not to say
Netherlands,31,male,Doctoral degree,Other,Employed part-time,Data scientist,12+ years,9-11 years,Neutral,Very dissatisfied,20,Full-time remote,Excellent
Brazil,26,male,Some college,Computer science,Not employed,Data scientist,0-2 years,9-11 years,Neutral,Very satisfied,22,Rarely,Excellent
Netherlands,33,male,Masters degree,Computer science,Student,Back-end developer,3-5 years,12+ years,Very satisfied,Slightly satisfied,46,Most of the time,Fair
Netherlands,49,male,Some college,Information systems,Not employed,Other,12+ years,12+ years,Slightly dissatisfied,Very satisfied,39,Never,Good
Brazil,58,male,Secondary school,Engineering,Student,Front-end developer,6-8 years,Not applicable,Very satisfied,Slightly satisfied,80,Sometimes,Excellent
United States,47,male,Secondary school,Information systems,Not employed,Other,3-5 years,0-2 years,Slightly dissatisfied,Neutral,23,Sometimes,Good
Canada,18,other,Masters degree,Information systems,Self-employed,Back-end developer,12+ years,0-2 years,Slightly satisfied,Slightly satisfied,35,Never,Fair
United States,29,male,Some college,Other,Self-employed,Other,6-8 years,6-8 years,Neutral,Slightly dissatisfied,22,Most of the time,Poor
United States,18,male,Some college,Engineering,Employed part-time,Data scientist,0-2 years,9-11 years,Very dissatisfied,Very satisfied,79,Full-time remote,Good
Spain,49,male,Doctoral degree,Mathematics,Not employed,Back-end developer,9-11 years,6-8 years,Very satisfied,Neutral,21,Full-time remote,Good
United States,47,male,Bachelors degree,Engineering,Employed part-time,Full-stack developer,0-2 years,9-11 years,Slightly satisfied,Slightly satisfied,60,Full-time remote,Fair
Brazil,46,male,Some college,Computer science,Not employed,Full-stack developer,0-2 years,0-2 years,Slightly dissatisfied,Very dissatisfied,46,Never,Good
Other,52,female,Some college,Other,Not employed,Data scientist,6-8 years,3-5 years,Neutral,Very dissatisfied,55,Rarely,Fair
Spain,24,female,Some college,Computer science,Self-employed,Full-stack developer,6-8 years,12+ years,Slightly dissatisfied,Very satisfied,38,Sometimes,Excellent
Germany,27,female,Secondary school,Computer science,Self-employed,Front-end developer,9-11 years,6-8 years,Slightly satisfied,Very dissatisfied,42,Never,Poor
Australia,26,male,Some college,Other,Not employed,Front-end developer,9-11 years,3-5 years,Neutral,Slightly dissatisfied,60,Sometimes,Fair
Netherlands,27,other,Secondary school,Computer science,Employed full-time,Front-end developer,9-11 years,9-11 years,Neutral,Very satisfied,62,Rarely,Poor
Netherlands,43,male,Secondary school,Engineering,Employed full-time,Back-end developer,3-5 years,12+ years,Very satisfied,Very dissatisfied,24,Most of the time,Excellent
United States,33,male,Some college,Mathematics,Employed full-time,Back-end developer,3-5 years,9-11 years,Neutral,Very dissatisfied,54,Rarely,Excellent
Spain,48,male,Secondary school,Other,Self-employed,Other,6-8 years,3-5 years,Slightly dissatisfied,Neutral,38,Full-time remote,Good
Australia,39,male,Bachelors degree,Mathematics,Employed part-time,Data scientist,12+ years,Not applicable,Neutral,Slightly satisfied,41,Full-time remote,Good
Brazil,62,other,Bachelors degree,Engineering,Student,Front-end developer,3-5 years,6-8 years,Slightly satisfied,Very satisfied,63,Rarely,Good
India,57,male,Doctoral degree,Information systems,Self-employed,Other,3-5 years,Not applicable,Neutral,Very satisfied,45,Rarely,Good
Germany,26,male,Some college,Mathematics,Self-employed,Other,12+ years,3-5 years,Slightly dissatisfied,Neutral,28,Full-time remote,Good
Netherlands,49,male,Some college,Other,Student,Back-end developer,9-11 years,0-2 years,Neutral,Slightly satisfied,75,Full-time remote,Excellent
United Kingdom,43,male,Some college,Mathematics,Student,Back-end developer,3-5 years,6-8 years,Slightly satisfied,Slightly dissatisfied,32,Never,Good
Netherlands,55,female,Secondary school,Computer science,Employed part-time,Full-stack developer,3-5 years,3-5 years,Neutral,Very dissatisfied,30,Sometimes,Fair
Canada,27,male,Masters degree,Computer science,Employed full-time,Front-end developer,9-11 years,12+ years,Very satisfied,Slightly dissatisfied,45,Most of the time,Good
United Kingdom,38,female,Masters degree,Other,Employed full-time,Full-stack developer,12+ years,12+ years,Very satisfied,Slightly dissatisfied,77,Never,Good
Spain,46,male,Secondary school,Engineering,Employed full-time,Front-end developer,3-5 years,12+ years,Neutral,Neutral,52,Never,Poor
Spain,40,male,Masters degree,Information systems,Employed full-time,Back-end developer,12+ years,Not applicable,Very dissatisfied,Neutral,49,Rarely,Fair
India,24,male,Some college,Engineering,Employed full-time,Full-stack developer,6-8 years,0-2 years,Very dissatisfied,Slightly dissatisfied,71,Never,Fair
Netherlands,37,male,Bachelors degree,Other,Employed full-time,Front-end developer,0-2 years,0-2 years,Very satisfied,Slightly dissatisfied,72,Full-time remote,Good
Australia,43,male,Some college,Information systems,Not employed,Other,12+ years,Not applicable,Slightly satisfied,Very dissatisfied,44,Full-time remote,Excellent
Spain,40,male,Doctoral degree,Engineering,Not employed,Front-end developer,0-2 years,6-8 years,Neutral,Very dissatisfied,39,Full-time remote,Excellent
India,56,male,Secondary school,Other,Employed full-time,Back-end developer,3-5 years,3-5 years,Very satisfied,Slightly dissatisfied,71,Most of the time,Poor
Spain,43,female,Bachelors degree,Information systems,Self-employed,Front-end developer,9-11 years,9-11 years,Neutral,Slightly dissatisfied,30,Never,Fair
Spain,59,other,Masters degree,Computer science,Student,Data scientist,3-5 years,12+ years,Very satisfied,Very dissatisfied,24,Rarely,Good
United Kingdom,32,male,Secondary school,Information systems,Employed part-time,Front-end developer,9-11 years,9-11 years,Slightly satisfied,Neutral,68,Full-time remote,Good
France,55,male,Some college,Computer science,Self-employed,Front-end developer,0-2 years,12+ years,Slightly satisfied,Slightly satisfied,42,Rarely,Good
Other,44,male,Doctoral degree,Engineering,Student,Full-stack developer,6-8 years,12+ years,Very dissatisfied,Very satisfied,24,Sometimes,Poor
United States,31,male,Doctoral degree,Other,Student,Front-end developer,3-5 years,0-2 years,Very satisfied,Very satisfied,55,Most of the time,Good
Canada,43,male,Secondary school,Information systems,Employed part-time,Front-end developer,9-11 years,Not applicable,Very satisfied,Slightly satisfied,38,Most of the time,Excellent
India,59,male,Masters degree,Information systems,Self-employed,Other,3-5 years,3-5 years,Slightly dissatisfied,Slightly satisfied,58,Full-time remote,Good
India,65,female,Doctoral degree,Computer science,Employed part-time,Data scientist,3-5 years,9-11 years,Slightly dissatisfied,Neutral,37,Rarely,Good
Spain,41,female,Doctoral degree,Engineering,Not employed,Front-end developer,6-8 years,12+ years,Very dissatisfied,Very satisfied,74,Sometimes,Good
Australia,53,male,Some college,Mathematics,Employed full-time,Full-stack developer,3-5 years,Not applicable,Slightly dissatisfied,Neutral,43,Sometimes,Excellent
France,61,male,Some college,Mathematics,Employed full-time,Other,3-5 years,12+ years,Very satisfied,Neutral,69,Most of the time,Poor
Netherlands,31,male,Bachelors degree,Computer science,Employed full-time,Other,0-2 years,6-8 years,Slightly satisfied,Slightly dissatisfied,50,Rarely,Fair
